City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Butaritari,KI,80.01,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Hermanus,ZA,89.01,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Cape Town,ZA,78.8,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Trelew,AR,76.08,clear sky,-43.248999999999995,-65.3051,Hotel Touring Club
13,Sibolga,ID,81.55,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
14,Port Alfred,ZA,78.01,scattered clouds,-33.5906,26.891,The Halyards Hotel
15,Caruray,PH,82.4,scattered clouds,10.3094,119.0128,
22,Bac Lieu,VN,78.91,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
23,Natal,BR,75.2,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
30,Rikitea,PF,78.42,clear sky,-23.1203,-134.9692,Pension Maro'i
31,East London,ZA,80.6,few clouds,-33.0153,27.9116,Tu Casa
33,Carnarvon,AU,82.4,clear sky,-24.8667,113.6333,Hospitality Carnarvon
34,Iracemapolis,BR,75.0,few clouds,-22.5806,-47.5186,Lazuli
38,Yanam,IN,84.2,haze,16.7333,82.2167,The Regency Hotel
43,Bajil,YE,86.58,few clouds,15.0584,43.2851,شبكة ماكس نت MAX WIFI
44,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
45,Bloemfontein,ZA,86.0,few clouds,-29.1211,26.214000000000002,Protea Hotel by Marriott Bloemfontein
48,Georgetown,MY,89.6,few clouds,5.4112,100.3354,Cititel Penang
51,Kruisfontein,ZA,80.83,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
52,Grand Gaube,MU,86.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
54,Kendari,ID,81.43,clear sky,-3.945,122.4989,Hotel Wixel
55,Puerto Ayora,EC,75.0,light rain,-0.7393,-90.3518,Castillo Galapagos
58,Limbang,MY,75.2,heavy intensity rain,4.75,115.0,Purnama Hotel
59,Balabac,PH,80.8,broken clouds,7.9868,117.0645,Sing and Swing Lodge
68,Busselton,AU,80.01,clear sky,-33.65,115.3333,Observatory Guest House
69,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
71,Bengkulu,ID,84.74,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
74,Padang,ID,86.0,few clouds,-0.9492,100.3543,Mercure Padang
76,Dingle,PH,79.07,light rain,10.9995,122.6711,SEGAYA PROPERTY
77,Pathein,MM,82.35,scattered clouds,16.7833,94.7333,Pathein Hotel
78,Carutapera,BR,77.07,light rain,-1.195,-46.02,Lidera
81,Lagos,NG,84.2,haze,6.5833,3.75,
82,Atuona,PF,77.88,light rain,-9.8,-139.0333,Villa Enata
85,Marang,MY,78.8,scattered clouds,5.2056,103.2059,DBarakah Homestay
86,Acapulco,MX,75.29,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
87,Arraial Do Cabo,BR,77.0,few clouds,-22.9661,-42.0278,Pousada Porto Praia
94,Cancun,MX,75.0,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
96,Bubaque,GW,77.27,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
105,Sanghar,PK,77.0,smoke,26.0466,68.9481,Goklani House گوکلانی ہائوس
106,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
107,Beruwala,LK,81.66,light rain,6.4788,79.9828,The Palms Hotel
110,Makakilo City,US,75.2,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
112,Esperance,AU,77.0,clear sky,-33.8667,121.9,Hospitality Esperance
113,Chabahar,IR,76.32,clear sky,25.2919,60.643,هتل گدروشیا
114,Bandarbeyla,SO,77.79,few clouds,9.4942,50.8122,JABIR HOTEL
123,Wajir,KE,86.0,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
126,Kavieng,PG,82.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
127,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
130,Isangel,VU,76.91,light rain,-19.55,169.2667,Volcano Sea View Tree House
135,Touros,BR,75.2,few clouds,-5.1989,-35.4608,INN NEW HORIZON
136,Vila Velha,BR,75.2,light rain,-20.3297,-40.2925,Hotel Vitória Palace
139,Kupang,ID,80.6,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
141,Mushie,CD,89.76,clear sky,-3.0167,16.9,
142,Neiafu,TO,82.2,overcast clouds,-18.65,-173.9833,Mystic Sands
155,Pa Sang,TH,84.2,few clouds,18.5262,98.9394,โรงแรม จามจุรี 99
160,Mareeba,AU,80.6,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
168,Bredasdorp,ZA,80.6,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
170,Inongo,CD,83.05,broken clouds,-1.95,18.2667,Hotel Du Lac
179,Itarema,BR,79.16,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
180,Bairiki,KI,77.0,overcast clouds,1.3292,172.9752,Tarawa Boutique Hotel
188,Quatre Cocos,MU,86.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
202,Pitimbu,BR,78.8,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
203,Pangkalanbuun,ID,78.03,moderate rain,-2.6833,111.6167,Grand Kecubung Hotel
207,Saint-Philippe,RE,89.6,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
210,Rio Grande,BR,75.0,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
214,Jibuti,DJ,80.6,clear sky,11.5,42.5,Orchid Main Camp Goubet
215,Tra Vinh,VN,80.06,overcast clouds,9.9347,106.3453,Hồng Ân
217,Manokwari,ID,81.05,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
222,Teahupoo,PF,78.01,clear sky,-17.8333,-149.2667,Vanira Lodge
229,Kattivakkam,IN,86.0,scattered clouds,13.2167,80.3167,Raj's villa
230,Arouca,TT,75.99,few clouds,10.6333,-61.3333,Palms Hotel Trinidad
233,Mahebourg,MU,84.2,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
236,Harper,LR,81.12,light rain,4.375,-7.7169,Screensaver
241,Bouna,CI,84.67,clear sky,9.2667,-3.0,Hotel Reserve
243,Vung Tau,VN,77.41,overcast clouds,10.345999999999998,107.0843,Seaside Resort
247,Honiara,SB,77.27,scattered clouds,-9.4333,159.95,Heritage Park Hotel
250,Banda Aceh,ID,80.1,scattered clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
253,Alofi,NU,78.8,moderate rain,-19.0595,-169.9187,Taloa Heights
257,Oussouye,SN,78.8,clear sky,12.485,-16.5469,Auberge du Routard
263,Lufilufi,WS,77.0,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
265,Buala,SB,79.47,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
267,Alibag,IN,86.0,smoke,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
272,Nsanje,MW,77.36,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
273,Siguiri,GN,80.53,overcast clouds,11.6667,-9.5,
276,Caravelas,BR,76.35,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
278,Koutiala,ML,80.08,broken clouds,12.3917,-5.4642,Hotel Campement Poule Verte
281,Forecariah,GN,83.88,clear sky,9.4306,-13.0881,"Motel "" La Maison Blanche"""
285,Pakpattan,PK,81.3,broken clouds,30.340999999999998,73.3866,FARAN HOTEL
288,Bloemhof,ZA,88.57,broken clouds,-27.6469,25.607,Victory Towers
290,Ambilobe,MG,86.67,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
291,Palimbang,PH,79.75,light rain,6.2106,124.1894,Felmar Beach resort
294,Port Elizabeth,ZA,80.6,clear sky,-33.918,25.5701,39 On Nile Guest House
296,Saquarema,BR,77.0,few clouds,-22.92,-42.5103,Hotel Fazenda Sol e Lua
297,Alugan,PH,80.51,clear sky,12.2188,125.4808,JM Lodge
300,Hobyo,SO,82.36,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
304,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
306,Daru,PG,80.11,light rain,-9.0763,143.2092,Daru Lodge
312,Pringsewu,ID,80.55,moderate rain,-5.3582,104.9744,Urban Style by Front One
314,Man,CI,86.18,scattered clouds,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
315,Kavaratti,IN,82.17,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
316,Sidney,AU,80.6,clear sky,-33.8679,151.2073,The Grace Sydney
326,Oranjestad,AW,77.0,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
327,Mandurah,AU,81.0,clear sky,-32.55,115.7,Atrium Hotel Mandurah
328,Puerto Escondido,MX,75.97,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
330,Sokode,TG,75.2,haze,8.9833,1.1333,فندق ايسوفا سوكودى
331,Boa Vista,BR,77.0,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
333,Tambacounda,SN,84.2,clear sky,13.7539,-13.7586,
340,Hithadhoo,MV,83.03,clear sky,-0.6,73.0833,Scoop Guest House
341,Praia,CV,77.0,clear sky,14.9215,-23.5087,LT Aparthotel
342,Ambon,ID,84.2,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
351,Teknaf,BD,77.34,clear sky,20.8624,92.3058,Forestry Guesthouse
352,Kununurra,AU,82.4,broken clouds,-15.7667,128.7333,Hotel Kununurra
353,Benguela,AO,80.42,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
