,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Thompson,55.7435,-97.8558,-9.4,84,90,3.15,light snow
1,Sabratah,32.7933,12.4885,53.15,49,0,11.61,clear sky
2,Sao Joao Da Barra,-21.6403,-41.0511,72.72,89,93,3.58,overcast clouds
3,Carnarvon,-24.8667,113.6333,82.4,74,40,16.11,scattered clouds
4,Potam,27.6,-110.3833,57.0,97,0,2.59,clear sky
5,Bungoma,0.5635,34.5606,78.57,43,44,9.13,scattered clouds
6,Meulaboh,4.1363,96.1285,85.37,61,0,5.7,clear sky
7,Nanortalik,60.1432,-45.2371,22.5,87,0,4.47,clear sky
8,Calbuco,-41.768,-73.1273,60.8,100,90,8.05,overcast clouds
9,Butaritari,3.0707,172.7902,79.9,81,100,11.5,moderate rain
10,Kruisfontein,-34.0033,24.7314,72.14,80,100,6.98,overcast clouds
11,Lazarev,52.225,141.5131,-3.5,85,100,11.12,overcast clouds
12,Mataura,-46.1927,168.8643,60.01,83,97,1.01,light rain
13,Shingu,33.7333,135.9833,59.0,94,75,2.3,broken clouds
14,Punta Arenas,-53.15,-70.9167,42.8,81,0,19.57,clear sky
15,Rikitea,-23.1203,-134.9692,78.84,70,0,16.98,clear sky
16,Saint-Philippe,-21.3585,55.7679,87.8,66,0,11.5,clear sky
17,Okhotsk,59.3833,143.3,-13.7,84,100,11.63,overcast clouds
18,Kushnarenkovo,55.105,55.3508,10.4,85,90,13.42,snow
19,Ushuaia,-54.8,-68.3,42.8,81,20,9.22,few clouds
20,Eldorado,-23.7869,-54.2836,69.62,95,100,7.83,overcast clouds
21,Ouegoa,-20.35,164.4333,77.14,83,100,12.46,light rain
22,Qaqortoq,60.7167,-46.0333,21.2,53,0,5.75,clear sky
23,Kuching,1.55,110.3333,87.8,70,40,9.22,scattered clouds
24,Tuktoyaktuk,69.4541,-133.0374,-14.8,76,90,13.8,overcast clouds
25,Severo-Kurilsk,50.6789,156.125,19.89,91,99,2.15,light snow
26,Kentville,45.0835,-64.4988,21.2,63,100,3.44,light snow
27,Dunedin,-45.8742,170.5036,61.0,73,100,4.0,overcast clouds
28,Bathsheba,13.2167,-59.5167,78.8,73,20,17.27,few clouds
29,Asau,46.4333,26.4,39.99,58,100,4.34,overcast clouds
30,Vaini,-21.2,-175.2,75.2,100,75,9.55,light rain
31,Dikson,73.5069,80.5464,-26.72,85,3,6.33,clear sky
32,Sorland,67.667,12.6934,26.6,80,75,78.29,broken clouds
33,Nome,64.5011,-165.4064,26.6,93,75,5.75,broken clouds
34,Bredasdorp,-34.5322,20.0403,71.6,83,75,5.75,broken clouds
35,Hermanus,-34.4187,19.2345,81.0,60,3,5.99,clear sky
36,Cuamba,-14.8031,36.5372,74.05,90,100,3.02,light rain
37,Bubaque,11.2833,-15.8333,77.99,66,97,2.44,overcast clouds
38,Kavaratti,10.5669,72.642,82.09,68,2,8.21,clear sky
39,Anloga,5.7947,0.8973,75.2,94,20,4.61,mist
40,Puerto Ayora,-0.7393,-90.3518,75.99,93,64,1.01,broken clouds
41,Saldanha,-33.0117,17.9442,69.8,68,0,3.44,clear sky
42,Caravelas,-17.7125,-39.2481,73.51,83,5,1.83,clear sky
43,Atuona,-9.8,-139.0333,78.39,78,2,15.73,clear sky
44,Volga,57.9516,38.3879,13.35,96,100,10.04,snow
45,Sibu,2.3,111.8167,82.4,83,40,5.75,scattered clouds
46,Lagoa,39.05,-27.9833,59.16,78,95,14.09,overcast clouds
47,Viedma,-40.8135,-62.9967,82.0,45,0,4.0,clear sky
48,Danielskuil,-28.1887,23.5395,83.93,32,56,9.19,broken clouds
49,Hobart,-42.8794,147.3294,69.8,40,100,16.11,overcast clouds
50,Castro,-24.7911,-50.0119,62.33,97,100,7.7,overcast clouds
51,Tazovskiy,67.4667,78.7,-43.74,80,52,6.76,broken clouds
52,Tiarei,-17.5333,-149.3333,77.0,83,75,2.3,broken clouds
53,Ostrovnoy,68.0531,39.5131,-1.41,91,75,11.52,broken clouds
54,Cayenne,4.9333,-52.3333,73.4,100,75,2.3,broken clouds
55,Busselton,-33.65,115.3333,91.99,43,0,8.99,clear sky
56,Hasaki,35.7333,140.8333,59.0,36,40,2.3,scattered clouds
57,Xico,19.2667,-98.9333,57.2,44,1,2.3,clear sky
58,Fortuna,40.5982,-124.1573,46.0,100,90,2.55,moderate rain
59,Bardejov,49.2918,21.2727,41.0,88,100,1.99,overcast clouds
60,Jamestown,42.097,-79.2353,33.01,80,90,14.97,light snow
61,Yellowknife,62.456,-114.3525,-25.01,75,20,3.44,few clouds
62,Santa Fe,-31.6333,-60.7,77.0,78,0,1.01,clear sky
63,Albany,42.6001,-73.9662,30.0,68,34,3.98,scattered clouds
64,Cape Town,-33.9258,18.4232,77.0,82,0,9.22,clear sky
65,Saskylakh,71.9167,114.0833,-15.48,87,100,9.51,overcast clouds
66,New Norfolk,-42.7826,147.0587,69.8,40,100,16.11,overcast clouds
67,Jaltepec,19.7333,-98.6333,57.2,44,1,2.3,clear sky
68,Half Moon Bay,37.4636,-122.4286,51.8,81,90,10.36,overcast clouds
69,Yumen,40.2833,97.2,37.83,53,0,3.49,clear sky
70,Bhavnagar,21.7667,72.15,78.8,38,0,5.75,smoke
71,Ancud,-41.8697,-73.8203,59.0,100,90,2.3,fog
72,Port Alfred,-33.5906,26.891,73.99,89,43,1.01,scattered clouds
73,Kulhudhuffushi,6.6221,73.07,82.27,74,22,9.31,few clouds
74,Pisco,-13.7,-76.2167,68.0,83,0,1.14,clear sky
75,Lebu,-37.6167,-73.65,59.16,89,0,17.29,clear sky
76,Kaitangata,-46.2817,169.8464,60.01,71,100,7.0,overcast clouds
77,Kapaa,22.0752,-159.319,73.99,78,75,23.02,light rain
78,Hanford,36.3275,-119.6457,50.0,66,1,4.61,clear sky
79,Marsh Harbour,26.5412,-77.0636,69.84,64,100,7.49,overcast clouds
80,Ambon,-3.6954,128.1814,91.4,62,40,11.5,moderate rain
81,Avarua,-21.2078,-159.775,80.6,78,74,2.3,broken clouds
82,Cherskiy,68.75,161.3,-38.09,81,76,1.97,broken clouds
83,Berezovyy,51.6667,135.7,-5.46,82,0,2.57,clear sky
84,Kailua,21.4022,-157.7394,75.2,60,75,18.41,broken clouds
85,Bluff,-46.6,168.3333,60.01,83,75,1.01,broken clouds
86,Torbay,47.6666,-52.7314,30.99,93,90,23.02,snow
87,Luderitz,-26.6481,15.1594,71.42,64,97,5.57,overcast clouds
88,Geraldton,-28.7667,114.6,87.8,40,0,16.11,clear sky
89,East London,-33.0153,27.9116,77.0,78,20,6.91,few clouds
90,Uyuni,-20.4597,-66.825,43.7,80,83,15.82,light rain
91,Airai,-8.9266,125.4092,70.34,96,92,2.86,moderate rain
92,Hlukhiv,51.6782,33.9162,29.05,99,100,13.24,overcast clouds
93,Longyearbyen,78.2186,15.6401,14.0,67,20,16.11,few clouds
94,Salalah,17.0151,54.0924,78.8,38,0,21.85,dust
95,Lagos,6.5833,3.75,75.24,87,100,4.14,overcast clouds
96,Qaanaaq,77.484,-69.3632,13.44,90,100,3.4,overcast clouds
97,Cabedelo,-6.9811,-34.8339,75.2,88,20,5.75,few clouds
98,Ammon,43.4696,-111.9666,27.0,100,90,3.44,mist
99,Lorengau,-2.0226,147.2712,84.34,62,100,5.03,overcast clouds
100,Faanui,-16.4833,-151.75,81.16,75,55,16.28,broken clouds
101,Zhanaozen,43.3,52.8,27.32,92,100,11.05,overcast clouds
102,Lasa,46.6166,10.7002,33.01,100,90,3.83,fog
103,Wattegama,6.7989,81.4808,84.96,64,100,8.23,light rain
104,Upata,8.0086,-62.3989,67.93,94,7,5.68,clear sky
105,Dawson Creek,55.7666,-120.2362,12.2,85,1,3.44,clear sky
106,Tasiilaq,65.6145,-37.6368,12.2,73,40,4.61,scattered clouds
107,Esperance,-33.8667,121.9,82.4,47,0,18.41,clear sky
108,Hay River,60.8156,-115.7999,-2.2,78,100,2.3,overcast clouds
109,Port Keats,-14.25,129.55,81.43,80,100,5.39,light rain
110,Norman Wells,65.282,-126.8329,5.0,85,90,4.61,light snow
111,Kattivakkam,13.2167,80.3167,87.8,62,40,2.3,scattered clouds
112,Bethel,41.3712,-73.414,32.0,74,20,4.61,few clouds
113,Ballina,-28.8667,153.5667,80.6,57,40,14.97,scattered clouds
114,Mahebourg,-20.4081,57.7,84.2,65,40,10.36,scattered clouds
115,Miyako,39.6367,141.9525,41.85,74,11,2.17,few clouds
116,Ponta Do Sol,32.6667,-17.1,61.0,72,13,5.01,few clouds
117,Samana,19.2056,-69.3369,72.55,87,34,4.85,scattered clouds
118,Teguldet,57.3064,88.1667,8.49,94,100,4.61,light snow
119,Tuatapere,-46.1333,167.6833,60.01,83,100,1.01,overcast clouds
120,Kefamenanu,-9.4467,124.4781,83.48,69,35,10.13,light rain
121,Lexington,37.9887,-84.4777,37.0,86,1,8.05,mist
122,Katsuura,35.1333,140.3,59.0,54,20,3.44,few clouds
123,Narsaq,60.9167,-46.05,21.2,53,0,5.75,clear sky
124,Barrow,71.2906,-156.7887,1.4,78,90,25.32,snow
125,Ust-Kulom,61.6864,53.6902,-15.84,88,48,4.18,scattered clouds
126,Snyder,32.7179,-100.9176,50.0,100,1,3.44,mist
127,Chimoio,-19.1164,33.4833,71.6,83,75,13.8,broken clouds
128,Ferme-Neuve,46.7001,-75.4493,24.8,80,100,10.36,overcast clouds
129,Sao Filipe,14.8961,-24.4956,72.77,70,75,8.25,broken clouds
130,Ilula,-7.6766,36.0366,68.0,77,75,3.49,moderate rain
131,Vardo,70.3705,31.1107,19.4,73,40,31.25,scattered clouds
132,Kuopio,62.8924,27.677,14.0,79,90,10.36,overcast clouds
133,Hithadhoo,-0.6,73.0833,82.69,69,0,8.66,clear sky
134,Acapulco,16.8634,-99.8901,75.97,77,0,3.42,clear sky
135,Manokwari,-0.8667,134.0833,82.51,70,68,4.79,broken clouds
136,Cabo San Lucas,22.8909,-109.9124,68.0,85,98,6.06,overcast clouds
137,Khunti,23.0833,85.2833,71.6,30,0,3.44,haze
138,Djibo,14.1022,-1.6306,60.98,28,53,10.58,broken clouds
139,Bhusawal,21.05,75.7667,85.28,15,0,5.53,clear sky
140,Goya,-29.14,-59.2626,73.18,71,0,7.18,clear sky
141,Salou,41.0766,1.1416,55.99,76,20,8.05,few clouds
142,Nikolskoye,59.7035,30.7861,21.2,93,90,6.71,light snow
143,Sinnamary,5.3833,-52.95,76.5,89,100,10.25,overcast clouds
144,Mar Del Plata,-38.0023,-57.5575,70.0,94,0,8.05,mist
145,Camacha,33.0833,-16.3333,62.6,94,40,13.8,scattered clouds
146,Upernavik,72.7868,-56.1549,22.15,97,89,10.27,overcast clouds
147,Iqaluit,63.7506,-68.5145,32.0,74,75,25.32,broken clouds
148,Ribeira Grande,38.5167,-28.7,60.49,87,100,16.17,overcast clouds
149,Hilo,19.7297,-155.09,69.8,83,90,6.91,light rain
150,Storm Lake,42.6411,-95.2097,16.0,85,1,13.8,clear sky
151,San Lucas,16.6,-92.7167,66.04,73,1,2.37,clear sky
152,Vostok,46.4856,135.8833,0.14,88,0,3.85,clear sky
153,Quatre Cocos,-20.2078,57.7625,84.99,65,40,8.05,scattered clouds
154,Norsup,-16.0667,167.3833,83.01,74,100,8.34,light rain
155,Kieta,-6.2167,155.6333,83.17,63,5,7.78,clear sky
156,Victoria,22.2855,114.1577,77.0,57,20,5.75,few clouds
157,Tashtagol,52.7657,87.8894,27.81,97,100,9.17,snow
158,Volkach,49.8667,10.2333,46.99,78,37,1.01,scattered clouds
159,Clyde River,70.4692,-68.5914,-5.8,84,1,3.44,clear sky
160,Kysyl-Syr,63.8986,122.7617,-50.94,76,80,1.57,broken clouds
