,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Bethel,US,41.3712,-73.414,30.99,79,8,9.19,clear sky
1,Grindavik,IS,63.8424,-22.4338,28.4,69,75,23.02,broken clouds
2,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,70.03,95,100,6.22,overcast clouds
3,Awjilah,LY,29.1081,21.2869,58.64,35,25,10.31,scattered clouds
4,Butaritari,KI,3.0707,172.7902,80.01,81,70,12.82,light rain
5,Qaanaaq,GL,77.484,-69.3632,15.1,89,100,2.98,overcast clouds
6,Hermanus,ZA,-34.4187,19.2345,89.01,50,1,7.0,clear sky
7,Cape Town,ZA,-33.9258,18.4232,78.8,53,0,12.66,clear sky
8,Trelew,AR,-43.249,-65.3051,76.08,30,0,13.0,clear sky
9,Thompson,CA,55.7435,-97.8558,-7.6,77,90,3.85,light snow
10,Coahuayana,MX,18.7333,-103.6833,72.68,49,0,3.83,clear sky
11,Oksfjord,NO,70.2396,22.3479,17.6,79,75,32.21,snow
12,Barrow,US,71.2906,-156.7887,1.4,85,90,28.77,snow
13,Sibolga,ID,1.7427,98.7792,81.55,73,100,2.93,light rain
14,Port Alfred,ZA,-33.5906,26.891,78.01,80,33,10.0,scattered clouds
15,Caruray,PH,10.3094,119.0128,82.4,83,40,6.91,scattered clouds
16,Hofn,IS,64.2539,-15.2082,30.2,43,20,28.77,few clouds
17,Yinchuan,CN,38.4681,106.2731,33.46,63,2,6.82,clear sky
18,Ushuaia,AR,-54.8,-68.3,46.4,57,20,5.19,few clouds
19,Zhigansk,RU,66.7697,123.3711,-41.21,79,100,8.03,overcast clouds
20,Albany,US,42.6001,-73.9662,30.99,70,40,5.03,scattered clouds
21,Beringovskiy,RU,63.05,179.3167,-8.72,90,30,2.26,scattered clouds
22,Bac Lieu,VN,9.285,105.7244,78.91,76,92,8.48,overcast clouds
23,Natal,BR,-5.795,-35.2094,75.2,88,20,4.61,few clouds
24,Kapaa,US,22.0752,-159.319,73.4,73,1,20.71,clear sky
25,Antofagasta,CL,-23.65,-70.4,64.4,77,20,6.91,few clouds
26,Jamestown,US,42.097,-79.2353,32.0,93,90,8.05,mist
27,Norman Wells,CA,65.282,-126.8329,3.2,85,90,5.75,light snow
28,Dong Hoi,VN,17.4833,106.6,68.5,85,56,5.41,broken clouds
29,Hobart,AU,-42.8794,147.3294,63.0,77,40,5.75,scattered clouds
30,Rikitea,PF,-23.1203,-134.9692,78.42,73,0,13.78,clear sky
31,East London,ZA,-33.0153,27.9116,80.6,69,20,14.97,few clouds
32,Cedar City,US,37.6775,-113.0619,35.6,64,1,8.05,clear sky
33,Carnarvon,AU,-24.8667,113.6333,82.4,74,0,19.57,clear sky
34,Iracemapolis,BR,-22.5806,-47.5186,75.0,83,20,12.66,few clouds
35,Dauriya,RU,49.9333,116.8667,-2.83,89,67,6.44,broken clouds
36,Tuktoyaktuk,CA,69.4541,-133.0374,-12.98,88,63,13.65,broken clouds
37,Nome,US,64.5011,-165.4064,26.6,93,90,8.05,light snow
38,Yanam,IN,16.7333,82.2167,84.2,65,11,5.75,haze
39,Mahon,ES,39.8885,4.2658,59.0,82,40,24.16,scattered clouds
40,Rafraf,TN,37.1904,10.1837,60.8,58,0,14.09,clear sky
41,Baherden,TM,38.4362,57.4316,36.12,75,1,3.02,clear sky
42,Nyurba,RU,63.2842,118.3319,-55.77,63,57,1.3,broken clouds
43,Bajil,YE,15.0584,43.2851,86.58,36,12,6.82,few clouds
44,Lorengau,PG,-2.0226,147.2712,82.0,67,100,4.18,overcast clouds
45,Bloemfontein,ZA,-29.1211,26.214,86.0,45,20,10.36,few clouds
46,Praxedis Guerrero,MX,31.3667,-106.0167,46.4,81,20,13.8,few clouds
47,Codrington,AU,-38.2667,141.9667,58.8,91,100,6.89,overcast clouds
48,Georgetown,MY,5.4112,100.3354,89.6,58,20,11.5,few clouds
49,Atar,MR,20.5169,-13.0499,64.4,19,99,11.5,overcast clouds
50,Nazarovo,RU,56.0064,90.3914,13.21,95,100,9.86,overcast clouds
51,Kruisfontein,ZA,-34.0033,24.7314,80.83,59,86,8.43,overcast clouds
52,Grand Gaube,MU,-20.0064,57.6608,86.0,62,1,7.0,clear sky
53,New Norfolk,AU,-42.7826,147.0587,63.0,50,100,1.99,overcast clouds
54,Kendari,ID,-3.945,122.4989,81.43,77,0,3.76,clear sky
55,Puerto Ayora,EC,-0.7393,-90.3518,75.0,95,38,4.0,light rain
56,Cabo San Lucas,MX,22.8909,-109.9124,64.99,89,91,7.2,overcast clouds
57,Chunskiy,RU,56.0815,99.6342,8.49,95,100,3.22,light snow
58,Limbang,MY,4.75,115.0,75.2,94,75,5.75,heavy intensity rain
59,Balabac,PH,7.9868,117.0645,80.8,81,63,6.71,broken clouds
60,Lagoa,PT,39.05,-27.9833,58.73,91,99,15.75,light rain
61,Ponta Do Sol,PT,32.6667,-17.1,64.99,65,8,5.01,clear sky
62,Tuatapere,NZ,-46.1333,167.6833,61.0,69,100,8.01,overcast clouds
63,Ahipara,NZ,-35.1667,173.1667,59.05,75,19,5.32,few clouds
64,Bethanien,NA,-26.502,17.1583,94.57,24,24,14.16,few clouds
65,Talara,PE,-4.5772,-81.2719,73.44,76,94,12.39,overcast clouds
66,Fortuna,US,40.5982,-124.1573,43.0,93,90,17.27,overcast clouds
67,Peace River,CA,56.2501,-117.286,19.4,79,40,13.8,scattered clouds
68,Busselton,AU,-33.65,115.3333,80.01,48,0,7.0,clear sky
69,Vaini,TO,-21.2,-175.2,77.0,100,90,11.27,light rain
70,Hami,CN,42.8,93.45,30.11,70,44,7.63,scattered clouds
71,Bengkulu,ID,-3.8004,102.2655,84.74,66,40,11.81,scattered clouds
72,Porgera,PG,-5.4667,143.2,45.36,100,100,0.51,light rain
73,Polovinnoye,RU,54.7914,65.9864,-3.87,92,99,5.59,overcast clouds
